,Children_Poverty_Rate,E1,E2,E3,E4,E5,E6,HD1,HD2,L1,L2,O,P1,P2,P3,Q,Component 1,Component 2,Component 3,Segment K-means PCA,Segment,New Code
282,10.1,1.853997683,75.55914848,70.0,4.633140973,66.75129833,32.29571984,7.6,4.8,83.88019011,82.3536164,8.148148148,16.73306773,58.56573705,24.70119522,3.0,-0.7612108032171124,-0.5742902931040924,0.005501395497008196,1,second,E05000307
283,23.8,4.271503803,73.39473011,71.0,7.506281407,65.62674095,42.37288136,8.8,5.7,82.04103163,78.42593257,21.07142857,17.92828685,62.15139442,20.3187251,3.2,-0.20445184651155657,-0.38413887923865975,-0.17065394514974044,1,second,E05000308
284,7.9,1.484392054,74.253981,69.5,4.441166831,66.43500057,32.96089385,7.2,4.3,82.30262764,80.9062096,6.4,15.83333333,61.25,22.91666667,3.6,-0.7487336353047773,-0.4437180455119404,0.03704084297318364,1,second,E05000309
285,33.9,9.077206498,63.02261092,67.9,12.95224313,59.13872776,54.82517483,10.4,7.1,79.10010468,76.41682868,31.68674699,23.07692308,63.87959866,12.7090301,3.9,0.6115197398949676,-0.3780601146800957,-0.1845620949863127,0,first,E05000310
286,11.4,2.437550363,75.74865626,71.4,5.615885821,67.42021277,37.06563707,7.3,4.3,82.50497414,80.20344194,11.56862745,15.72580645,63.70967742,20.96774194,2.8,-0.6101190850329453,-0.3047767737510479,-0.03893233451585332,1,second,E05000311
287,18.8,3.441995993,72.16019417,71.0,7.57986739,65.62165632,40.11627907,8.4,5.6,81.4826876,78.96347982,17.81818182,17.87072243,63.878327,18.25095057,3.4,-0.2661251758196071,-0.3052511328932199,-0.10239015467800779,1,second,E05000312
288,26.6,6.417530816,69.14502695,68.5,8.549426371,62.66422572,48.20415879,8.7,5.7,79.08981064,76.40876862,24.6969697,20.76923077,62.30769231,16.92307692,3.6,0.11242465423531163,-0.37242371447466577,-0.1977605200275511,0,first,E05000313
289,33.6,7.246650311,64.25880213,65.9,11.35652174,58.38487973,50.36101083,11.8,7.3,79.87888505,77.55522746,30.3030303,21.78988327,60.70038911,17.12062257,3.7,0.4495166831444458,-0.579947136799915,-0.17198952660561947,0,first,E05000314
290,12.7,2.344689379,75.63878194,73.4,5.826749436,69.15665147,32.95454545,7.1,4.2,83.53579356,80.46527353,9.322033898,16.47509579,65.51724138,18.00766284,3.4,-0.6284505031290861,-0.18663240861768024,-0.027852480532464943,1,second,E05000315
291,19.5,4.604016673,73.23332507,70.8,6.796563363,65.96091205,44.60093897,8.5,5.2,83.1570185,80.13596968,17.33333333,19.30501931,61.003861,19.30501931,3.1,-0.29747916745095243,-0.4238067564614087,-0.10356088314421306,1,second,E05000316
292,12.2,2.315087306,74.9068323,70.5,5.377973034,66.74503099,36.93693694,7.5,4.4,81.57917671,79.58287827,10.72727273,16.98841699,61.003861,22.39382239,2.8,-0.6002764006592923,-0.4293647139978912,-0.07381765763457676,1,second,E05000317
293,22.8,5.085085085,72.42206235,70.6,8.044188579,64.91652021,45.49356223,7.9,5.2,81.20418258,78.80184606,20.16949153,19.21568627,62.74509804,18.03921569,3.4,-0.14868165766292696,-0.3290377278495576,-0.1304930304548112,1,second,E05000318
294,21.1,4.09015025,74.44597701,75.1,7.645020677,69.32628576,44.4015444,7.5,4.9,80.96038496,77.70887815,17.31343284,18.89534884,67.15116279,13.95348837,3.6,-0.2300683112018461,-0.04137174278898884,-0.1967715666167997,1,second,E05000319
295,13.5,2.578495001,76.1392178,72.4,6.142611684,67.97677071,34.17366947,8.9,5.1,81.70147028,79.06893897,12.90909091,15.98513011,62.82527881,21.18959108,3.1,-0.5280204202827214,-0.3595863647779738,-0.151844525188801,1,second,E05000320
296,25.5,6.031629275,70.53317536,70.2,9.308194774,63.69513085,48.05914972,8.6,5.6,79.61256018,77.64293896,22.17391304,21.40468227,62.20735786,16.72240803,3.7,0.04856421484308377,-0.3667751010810669,-0.19125658662246958,0,first,E05000321
297,13.0,3.214859796,77.2732498,74.4,5.098684211,70.56665308,42.69662921,6.5,4.0,82.77303052,81.03544135,11.05263158,17.73584906,64.90566038,16.98113208,3.3,-0.5908646241765755,-0.14036757287290424,-0.08277686315806185,1,second,E05000322
298,4.8,1.256626743,76.3928113,70.8,4.121475054,67.91044776,25.56818182,7.2,4.1,81.61024409,80.1516059,3.962264151,15.95330739,60.31128405,23.73540856,3.2,-0.8702397950618231,-0.4739048619965272,-0.03944381210344895,1,second,E05000323
299,28.4,8.583391486,64.95332359,68.8,10.99500227,61.25703565,53.11111111,6.9,5.0,79.89243832,78.30902842,24.375,24.18772563,65.70397112,9.747292419,9.2,0.3397740937471414,-0.1578771936894271,0.015967455209914078,0,first,E05000324
300,32.3,9.301856336,63.97822361,68.4,11.75585055,60.39149574,52.52365931,7.4,5.7,78.74788125,76.68825321,26.48351648,25.64102564,65.06410256,9.294871795,8.6,0.4950366125820575,-0.20138295698192454,-0.07109900729427222,0,first,E05000325
301,26.3,5.715551617,57.54772683,62.4,12.18690494,54.78388011,43.88489209,6.4,4.5,80.36003685,78.96707272,20.0,15.75342466,73.28767123,10.95890411,29.7,0.3458272422400677,0.08374747970211668,0.6723870957618575,0,first,E05000326
302,11.0,2.679576672,77.5606469,74.8,5.078500481,70.97508385,31.57894737,6.1,3.8,83.02720809,81.07096499,8.965517241,20.0,63.75,16.25,3.0,-0.6902789699918517,-0.1863084587685231,-0.09834650833202578,1,second,E05000327
303,22.1,6.013824885,70.97011269,71.3,7.848022423,65.74825019,45.5399061,6.6,4.2,81.39483519,80.34558167,17.5,22.22222222,65.13409962,12.64367816,6.8,-0.12538505671792333,-0.15280005575554345,-0.018423830336019315,1,second,E05000328
304,9.9,1.647307286,76.79280233,71.8,4.029187817,68.86738759,30.0,5.4,3.2,85.36464563,82.28977166,7.592592593,17.2,62.0,20.8,3.8,-0.8608437414694203,-0.3134323982626706,0.0737117440753629,1,second,E05000329
305,20.1,3.690159574,75.72094996,73.7,5.811878664,69.415743,40.09661836,8.7,5.6,80.07181123,78.41970325,17.05882353,19.73684211,63.15789474,17.76315789,3.0,-0.3237593584562477,-0.2701802239399685,-0.28122272783044683,1,second,E05000330
306,25.6,6.651685393,71.72891708,74.3,8.178328905,68.26163301,48.77505568,5.2,4.2,80.71060481,78.28629336,22.88135593,21.40077821,68.87159533,9.727626459,6.1,-0.01617359739184364,0.11480872584666056,-0.1122167638684314,0,first,E05000331
307,21.5,5.609326881,72.3870814,73.4,7.608857185,67.78238116,41.20267261,6.4,4.2,80.35215068,78.00183954,18.16901408,22.76119403,65.29850746,11.94029851,7.1,-0.1497287710610155,-0.0870664394910313,-0.13349482161361628,1,second,E05000332
308,5.9,1.397712834,76.56372472,71.9,4.246084167,68.87471155,24.42748092,6.0,3.2,84.54997238,82.16171296,5.0,17.75700935,61.68224299,20.56074766,4.1,-0.9092825154314244,-0.3553719414860388,0.06202295820250829,1,second,E05000333
309,10.4,2.286348502,80.53206003,77.3,4.314159292,74.00391102,30.79847909,5.9,3.5,82.887604,81.81477975,9.259259259,20.0,63.82978723,16.17021277,3.1,-0.7923083901415237,-0.12132046701088453,-0.16867971491723072,1,second,E05000334
310,9.2,2.293577982,73.31422537,69.6,4.661095636,66.35646892,41.78403756,7.4,4.7,83.77240963,82.51423943,8.0,15.81395349,62.79069767,21.39534884,4.4,-0.6521463850389562,-0.38215354644516797,0.10756080600720581,1,second,E05000335
311,14.2,3.142368534,74.26749864,72.3,6.149776823,67.80936455,36.996337,6.9,4.3,83.48064959,81.08266384,12.26415094,18.90756303,63.44537815,18.06722689,4.1,-0.5261651498930892,-0.27736954374497613,-0.01588646686877852,1,second,E05000336
312,28.7,8.672261674,66.83678783,69.8,9.578597172,63.12784283,51.31578947,6.0,4.5,81.18108112,77.17667976,25.16483516,25.97402597,64.93506494,8.766233766,8.7,0.2643491449839498,-0.12076972012346593,-0.040164619409583296,0,first,E05000337
313,12.4,4.233827638,77.54660253,76.8,6.008277437,72.15952668,39.02439024,5.9,3.8,81.25420059,79.11543944,16.0,20.39215686,66.2745098,12.94117647,3.4,-0.47009247451096264,0.00014085629035792262,-0.2071281765340837,1,second,E05000338
314,30.5,9.338772005,63.22191665,67.9,11.93165363,59.82098948,55.09090909,7.8,5.8,78.62748635,76.78205645,27.16049383,23.63013699,66.43835616,9.931506849,9.6,0.5148159463346744,-0.17253916060238755,-0.021743489940177406,0,first,E05000339
315,17.3,2.732814799,74.04666332,71.9,5.563325563,67.87668938,37.21973094,6.7,4.1,81.67271167,80.04109451,11.34615385,18.03921569,65.88235294,16.07843137,6.9,-0.4705939192132153,-0.12471533407727153,0.0012616487739897419,1,second,E05000340
316,24.1,4.665851671,56.83966636,60.9,10.9984288,54.1920334,47.11538462,5.4,4.1,80.31454994,78.27668892,19.36170213,13.22033898,77.28813559,9.491525424,32.9,0.3110592334770495,0.2870939175977945,0.8159964102678362,0,first,E05000341
317,32.7,7.443846297,69.04257573,71.2,9.019983575,64.74771089,48.51973684,8.0,5.2,78.57485455,76.43576808,29.23076923,23.15436242,65.43624161,11.40939597,7.3,0.2806722430486855,-0.11756702763343348,-0.22310616999489088,0,first,E05000342
318,11.9,2.162988857,78.16870944,75.2,4.620630861,71.74554316,29.34362934,6.6,4.1,82.4016236,80.65778059,10.88888889,17.85714286,64.73214286,17.41071429,2.9,-0.7053715853703811,-0.1503859422600445,-0.14003304942396494,1,second,E05000343
319,28.9,8.898395722,66.13224237,70.8,10.68188469,63.27355655,49.14463453,6.1,4.6,81.68727222,79.3262109,25.36585366,26.07142857,66.07142857,7.857142857,8.0,0.27661366721036906,-0.09560663428923488,-0.00491940676291867,0,first,E05000344
